"ncaa_id","espn_id"
"588938","120"
"589387","2373"
"589389","110"
"588939","113"
"589456","2700"
"589208","2816"
"589507","241"
"588940","235"
"589126","2382"
"589445","2383"
"589196","2771"
"589390","291"
"588941","193"
"588942","2390"
"588943","127"
"589250","2392"
"588944","130"
"588945","2393"
"589391","2394"
"589305","2395"
"589251","2396"
"589252","210"
"589392","74"
"589393","2398"
"589253","134"
"588946","135"
"589496","2399"
"589248","2364"
"589204","568"
"589513","2969"
"589254","2401"
"588947","344"
"589127","2400"
"589255","2402"
"589341","2403"
"589167","2623"
"588949","142"
"589342","137"
"589388","109"
"589394","2919"
"589128","2405"
"589130","149"
"589129","147"
"589395","2818"
"589396","323"
"589131","2413"
"589256","60"
"589132","2415"
"589398","2422"
"589133","93"
"589399","332"
"589004","2426"
"588957","152"
"588952","158"
"589301","2438"
"588954","2440"
"589134","160"
"589257","2441"
"588956","167"
"588955","166"
"589307","2444"
"589135","2447"
"589402","2884"
"589136","2450"
"589195","2453"
"588950","153"
"589404","3071"
"589143","155"
"589139","2449"
"589405","75"
"588958","249"
"589359","196"
"589144","2464"
"589145","2458"
"589146","2460"
"589259","128"
"589308","425"
"589260","138"
"589517","583"
"589213","2823"
"589147","2466"
"588961","77"
"589261","2886"
"589406","2467"
"588962","87"
"589407","391"
"589202","195"
"589408","427"
"588963","194"
"589409","2980"
"589215","319"
"588966","201"
"588965","197"
"588967","295"
"588948","145"
"589410","354"
"588969","2483"
"588968","204"
"589411","359"
"589309","2888"
"589262","2487"
"589506","205"
"589497","2486"
"588970","213"
"589148","219"
"589310","90"
"588971","221"
"589412","2972"
"589413","2923"
"589149","2502"
"589315","126086"
"589150","2504"
"589191","2506"
"589151","163"
"589414","2508"
"588972","2509"
"589264","2825"
"589415","2516"
"589416","29"
"589417","2528"
"589152","227"
"589418","2519"
"588973","242"
"589153","257"
"589419","2891"
"589154","2523"
"589423","2524"
"589424","86"
"589589","2827"
"588974","164"
"589087","16"
"589155","2529"
"589265","129"
"589426","2600"
"589520","2614"
"589431","2532"
"589432","2776"
"588978","2534"
"589157","2535"
"588975","21"
"589158","301"
"588979","23"
"589357","2542"
"589199","611"
"589435","2553"
"589268","2551"
"589433","2828"
"589346","2974"
"589269","2559"
"589434","2564"
"589206","2894"
"589270","215"
"588984","2567"
"588980","6"
"588981","2579"
"589159","2569"
"589161","233"
"589209","613"
"589160","2571"
"588982","58"
"589162","2546"
"589311","199"
"589312","2568"
"589271","2583"
"589164","79"
"589165","2582"
"588985","2572"
"589212","200"
"589166","253"
"589523","2896"
"589331","2586"
"589336","2587"
"589510","616"
"589337","2927"
"589163","2588"
"589437","81"
"589425","374"
"589266","2830"
"589156","2598"
"589427","2779"
"589428","2832"
"589429","133"
"589430","375"
"589397","2900"
"588988","24"
"589169","56"
"589514","471"
"589170","2619"
"589401","2951"
"589438","216"
"588989","183"
"589198","2627"
"588993","2628"
"588990","218"
"589171","2634"
"589172","2635"
"588991","2633"
"588992","245"
"589272","2658"
"588995","251"
"589498","2639"
"589175","2640"
"588986","326"
"588994","2641"
"589091","2643"
"589439","2644"
"589313","2838"
"588998","2649"
"589176","119"
"589519","2651"
"589441","2977"
"589442","386"
"588999","3237"
"589258","2654"
"589443","112"
"589000","2655"
"589001","202"
"589019","5"
"589077","399"
"589088","302"
"589038","2116"
"589037","26"
"589045","41"
"589436","379"
"589446","237"
"589358","2831"
"588953","2439"
"589274","389"
"589447","2667"
"589174","2630"
"589005","328"
"589197","3101"
"589006","254"
"588996","2638"
"589448","390"
"588997","2636"
"589275","2673"
"589177","2674"
"589007","238"
"589178","222"
"589009","258"
"589276","330"
"589008","259"
"589214","2676"
"589277","2355"
"589179","2678"
"589449","89"
"589180","2681"
"589010","154"
"589210","2682"
"589450","2685"
"589333","2687"
"589451","2686"
"589452","2688"
"589012","264"
"589011","265"
"589453","143"
"589278","131"
"589314","2844"
"589499","2845"
"589181","2692"
"589454","336"
"589245","2695"
"589279","223"
"589324","2699"
"589281","2704"
"589013","277"
"589325","2707"
"589345","455"
"589182","2717"
"589332","2714"
"589455","2843"
"589183","2710"
"589014","98"
"589015","2711"
"589457","2702"
"589326","2703"
"589327","2848"
"589458","2909"
"589501","2849"
"589500","433"
"589459","396"
"589356","112335"
"589502","2721"
"589460","2725"
"589461","398"
"589462","2930"
"589184","2729"
"589203","2911"
"589464","2731"
"589503","2733"
"589328","351"
"589282","2851"
"589283","2736"
"589016","275"
"589465","2738"
"589466","2740"
"589467","271"
"589468","272"
"589470","2743"
"589471","2744"
