"id","espn_id","ncaa_id","type","slug","abv","full_name","short_name","university","division","conference","primary","secondary","logo","head_coach","school_url","website","twitter","venue"
"COL08008","284","596525","NCAAF","columbia","COLU","Columbia","Lions","Columbia University-Barnard College","d1","The Ivy League","#114781","#88C3EC","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/columbia.svg","Brett Boretti","https://www.ncaa.com/schools/columbia","https://gocolumbialions.com","@GoColumbiaLions","Robertson Field at Satow Stadium"
"COP23784","162","596527","NCAAF","coppin-state","COPP","Coppin State","Eagles","Coppin State University","d1","Mid-Eastern Athletic Conf.","#2E3192","#FDC50C","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/coppin-st.svg","Sherman Reed","https://www.ncaa.com/schools/coppin-st","https://coppinstatesports.com","@coppinsports","Joe Cannon Stadium"
"COR08631","336","596528","NCAAF","cornell","COR","Cornell","Big Red","Cornell University","d1","The Ivy League","#D60027","#DC9799","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cornell.svg","Dan Pepicelli","https://www.ncaa.com/schools/cornell","https://cornellbigred.com","@cornellsports","Booth Field"
"CRE03870","98","596529","NCAAF","creighton","CREI","Creighton","Bluejays","Creighton University","d1","Big East","#13299E","#1E59AE","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/creighton.svg","Ed Servais","https://www.ncaa.com/schools/creighton","https://gocreighton.com","@GoCreighton","Charles Schwab Field Omaha"
"DBU17907","263","596703","NCAAF","dallas-baptist","DBU","Dallas Baptist","Patriots","Dallas Baptist University","d1","Lone Star","#161F27","#A91A2D","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dallas-baptist.svg","Dan Heefner","https://www.ncaa.com/schools/dallas-baptist","https://dbupatriots.com","@dbuathletics","Horner Ballpark"
"DAR13668","100","596530","NCAAF","dartmouth","DART","Dartmouth","Big Green","Dartmouth College","d1","The Ivy League","#005730","#002010","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dartmouth.svg","Bob Whalen","https://www.ncaa.com/schools/dartmouth","https://dartmouthsports.com","@DartmouthSports","Red Rolfe Field at Biondi Park"
"DAV11120","337","596531","NCAAF","davidson","DAV","Davidson","Wildcats","Davidson College","d1","Atlantic 10","#EC1C24","#EC1B23","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/davidson.svg","Rucker Taylor","https://www.ncaa.com/schools/davidson","https://davidsonwildcats.com","@DavidsonWildcat","Wilson Field"
"DAY55135","338","596532","NCAAF","dayton","DAY","Dayton","Flyers","University of Dayton","d1","Atlantic 10","#E50B0D","#DA1735","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/dayton.svg","Scott Loiseau","https://www.ncaa.com/schools/dayton","https://daytonflyers.com","@DaytonFlyers","Woerner Field at AES Ohio Stadium"
"DEL20208","339","596534","NCAAF","delaware","DEL","Delaware","Fightin' Blue Hens","University of Delaware","d1","USA","#285998","#FFDA1B","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware.svg","Greg Mamula","https://www.ncaa.com/schools/delaware","https://bluehens.com","@UDBlueHens","Bob Hannah Stadium"
"DSU42354","340","596533","NCAAF","delaware-state","DSU","Delaware State","Hornets","Delaware State University","d1","Mid-Eastern Athletic Conf.","#FF3630","#ED192D","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/delaware-st.svg","Pedro Swann","https://www.ncaa.com/schools/delaware-st","https://dsuhornets.com","@DSUAthletics","Bob Reed Field"
"DUK20781","93","596708","NCAAF","duke","DUKE","Duke","Blue Devils","Duke University","d1","Atlantic Coast","#004A7B","#1D4F9B","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/duke.svg","Chris Pollard","https://www.ncaa.com/schools/duke","https://goduke.com","@DukeATHLETICS","Jack Coombs Field"
"ECU02172","94","596535","NCAAF","east-carolina","ECU","East Carolina","Pirates","East Carolina University","d1","American Athletic","#4B1869","#100F0D","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-carolina.svg","Cliff Godwin","https://www.ncaa.com/schools/east-carolina","https://ecupirates.com","@ECUAthletics","Clark-LeClair"
"ETS29984","304","596536","NCAAF","east-tennessee-state","ETSU","East Tennessee State","Buccaneers","East Tennessee State University","d1","Southern","#FCCA20","#0E1531","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/east-tenn-st.svg","Joe Pennucci","https://www.ncaa.com/schools/east-tenn-st","https://etsubucs.com","@ETSUAthletics","Thomas Stadium"
"EKU60469","348","596538","NCAAF","eastern-kentucky","EKU","Eastern Kentucky","Colonels","Eastern Kentucky University","d1","Atlantic Sun","#800000","#870435","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-ky.svg","Walt Jones","https://www.ncaa.com/schools/eastern-ky","https://ekusports.com","@ekusports","Turkey Hughes Field at Earle Combs Stadium"
"EMU37847","349","596539","NCAAF","eastern-michigan","EMU","Eastern Michigan","Eagles","Eastern Michigan University","d1","Mid-American","#217038","#1F6732","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-mich.svg","Robbie Britt","https://www.ncaa.com/schools/eastern-mich","https://emueagles.com","@emuathletics","Oestrike Stadium"
"EWU53775","350","596537","NCAAF","eastern-washington","EWU","Eastern Washington","Eagles","Eastern Illinois University","d1","Ohio Valley","#D72D35","#B2B2B2","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/eastern-ill.svg","Jason Anderson","https://www.ncaa.com/schools/eastern-ill","https://eiupanthers.com","@EIU_Panthers","Coaches Stadium"
"ELO57145","303","596460","NCAAF","elon","ELON","Elon","Phoenix","Elon University","d1","Coastal Athletic Association","#680A20","#B09645","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/elon.svg","Mike Kennedy","https://www.ncaa.com/schools/elon","https://elonphoenix.com","@elonphoenix","Latham Park"
"EVA47756","149","596709","NCAAF","evansville","EVAN","Evansville","Purple Aces","University of Evansville","d1","Missouri Valley","#663399","#3C1053","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/evansville.svg","Wes Carroll","https://www.ncaa.com/schools/evansville","https://gopurpleaces.com","@UEAthletics","Charles H. Braun Stadium"
"FAI27712","351","596540","NCAAF","fairfield","FAIR","Fairfield","Stags","Fairfield University","d1","Metro Atlantic Athletic","#E11535","#231F20","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fairfield.svg","Bill Currier","https://www.ncaa.com/schools/fairfield","https://fairfieldstags.com","@FairfieldStags","Alumni Diamond"
"FLA10514","75","596545","NCAAF","florida","FLA","Florida","Gators","Florida State University","d1","Atlantic Coast","#2A42CE","#FEFFFF","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-st.svg","Link Jarrett","https://www.ncaa.com/schools/florida-st","https://seminoles.com","@Seminoles","Mike Martin Field at Dick Howser Stadium"
"FAM45835","353","596543","NCAAF","florida-am","FAMU","Florida A&M","Rattlers","Florida Atlantic University","d1","American Athletic","#FF7329","#CFD4D8","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fla-atlantic.svg","John McCormack","https://www.ncaa.com/schools/fla-atlantic","https://fausports.com","@FAUOwlAthletics","FAU Baseball Stadium"
"FGC18094","291","596473","NCAAF","florida-gulf-coast","FGCU","Florida Gulf Coast","Eagles","Florida Gulf Coast University","d1","Atlantic Sun","#164884","#009366","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fgcu.svg","Dave Tollett","https://www.ncaa.com/schools/fgcu","https://fgcuathletics.com","@FGCUEagles","Swanson Stadium"
"FIU30614","164","596544","NCAAF","florida-international","FIU","Florida International","Panthers","Florida International University","d1","USA","#091731","#C3993F","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fiu.svg","Rich Witten","https://www.ncaa.com/schools/fiu","https://fiusports.com","@FIUAthletics","FIU Baseball Stadium"
"FSC02114","1274","596546","NCAAF","florida-southern","FSC","Florida Southern","Moccasins","University of Florida","d1","Southeastern","#206833","#293982","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida.svg","Kevin O'Sullivan","https://www.ncaa.com/schools/florida","https://floridagators.com","@FloridaGators","Condron Family Ballpark at Alfred A. McKethan Field"
"FSU10368","72","596542","NCAAF","florida-state","FSU","Florida State","Seminoles","Florida A&M University","d1","Southwestern Athletic Conf.","#B72931","#E7881C","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/florida-am.svg","Jamey Shouppe","https://www.ncaa.com/schools/florida-am","https://famuathletics.com","@FAMUAthletics","Moore-Kittles Field"
"FOR53217","354","596547","NCAAF","fordham","FOR","Fordham","Rams","Fordham University","d1","Atlantic 10","#A50019","#820431","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fordham.svg","Kevin Leighton","https://www.ncaa.com/schools/fordham","https://fordhamsports.com","@FordhamRams","Houlihan Park"
"FRE40020","137","596707","NCAAF","fresno-state","FRES","Fresno State","Bulldogs","Fresno State","d1","Mountain West","#E73139","#155196","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/fresno-st.svg","Ryan Overland","https://www.ncaa.com/schools/fresno-st","https://gobulldogs.com","@FSAthletics","Pete Beiden Field at Bob Bennett Stadium"
"GWE57437","356","596461","NCAAF","gardner-webb","GWEB","Gardner-Webb","Runnin' Bulldogs","Gardner-Webb University","d1","Big South","#CF0000","#FFFFFE","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gardner-webb.svg","Jim Chester","https://www.ncaa.com/schools/gardner-webb","https://gwusports.com","@GWUSports","John Henry Moss Stadium"
"GMU52795","166","596548","NCAAF","george-mason","GMU","George Mason","Patriots","George Mason University","d1","Atlantic 10","#016600","#FFC629","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/george-mason.svg","Shawn Camp","https://www.ncaa.com/schools/george-mason","https://gomason.com","@MasonAthletics","Spuhler Field"
"GWX23728","71","596550","NCAAF","george-washington","GW","George Washington","Revolutionaries","Georgetown University","d1","Big East","#002843","#9AA2A2","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgetown.svg","Edwin Thompson","https://www.ncaa.com/schools/georgetown","https://guhoyas.com","@georgetownhoyas","Capital One Park"
"GTW00939","357","596551","NCAAF","georgetown","GTWN","Georgetown","Hoyas","Georgia Southern University","d1","Sun Belt","#38427A","#A0B7C1","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ga-southern.svg","Rodney Hennon","https://www.ncaa.com/schools/ga-southern","https://georgiasoutherneagles.com","@GSAthletics","J.I. Clements Stadium"
"UGA42521","78","596553","NCAAF","georgia","UGA","Georgia","Bulldogs","Georgia Tech","d1","Atlantic Coast","#D60022","#08284A","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-tech.svg","Danny Hall","https://www.ncaa.com/schools/georgia-tech","https://ramblinwreck.com","@GTAthletics","Russ Chandler Stadium"
"GAS50752","138","596554","NCAAF","georgia-southern","GASO","Georgia Southern","Eagles","University of Georgia","d1","Southeastern","#0A3861","#EE2722","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia.svg","Wes Johnson","https://www.ncaa.com/schools/georgia","https://georgiadogs.com","@UGAAthletics","Foley Field"
"GAS11028","358","596549","NCAAF","georgia-state","GAST","Georgia State","Panthers","George Washington University","d1","Atlantic 10","#1E539A","#0E2B58","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/george-washington.svg","Gregg Ritchie","https://www.ncaa.com/schools/george-washington","https://gwsports.collegesports.com","@GW_Sports","Tucker Field at Barcroft Park"
"GTX34685","77","596552","NCAAF","georgia-tech","GT","Georgia Tech","Yellow Jackets","Georgia State University","d1","Sun Belt","#0039A6","#013AA6","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/georgia-st.svg","Brad Stromdahl","https://www.ncaa.com/schools/georgia-st","https://georgiastatesports.com","@GSUPanthers","GSU Baseball Complex"
"GON53528","287","596555","NCAAF","gonzaga","GONZ","Gonzaga","Bulldogs","Gonzaga University","d1","West Coast","#C3C7CD","#1C3063","https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gonzaga.svg","Mark Machtolf","https://www.ncaa.com/schools/gonzaga","https://gozags.com","@GonzagaBulldogs","Patterson Baseball Complex and Coach Steve Hertz Field"
