"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo"
"180","s:1~l:14~t:180","charlotte","CHAR","Charlotte","Charlotte","49ers","Charlotte","Charlotte","0C562D",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png"
"330","s:1~l:14~t:330","chattanooga","CHAT","Chattanooga","Chattanooga","Mocs","Chattanooga","Chattanooga","253b81",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/236.png"
"331","s:1~l:14~t:331","chicago-st","CHS","Chicago St","Chicago St","Cougars","Chicago St","Chicago St","006700",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png"
"332","s:1~l:14~t:332","cleveland-state","CLEV","Cleveland State","Cleveland St","Vikings","Cleveland St","Cleveland State","006633",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/325.png"
"1248","s:1~l:14~t:1248","coe-college","COE","Coe College","Coe College","Kohawks","Coe College","Coe College",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2141.png"
"333","s:1~l:14~t:333","colgate","COLG","Colgate","Colgate","Raiders","Colgate","Colgate","910028",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png"
"334","s:1~l:14~t:334","colorado","COLO","Colorado","Colorado","Buffaloes","Colorado","Colorado","d1c57e",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/38.png"
"335","s:1~l:14~t:335","colorado-state","CSU","Colorado State","Colorado St","Rams","Colorado St","Colorado State","008c73",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/36.png"
"342","s:1~l:14~t:342","depaul","DEP","DePaul","DePaul","Blue Demons","DePaul","DePaul","2d649c",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/305.png"
"1286","s:1~l:14~t:1286","depauw","DEP","DePauw","DePauw Univers","Tigers","DePauw Univers","DePauw",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/83.png"
"341","s:1~l:14~t:341","denver","DEN","Denver","Denver","Pioneers","Denver","Denver","9c143d",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2172.png"
"343","s:1~l:14~t:343","detroit-mercy","DET","Detroit Mercy","Detroit Mercy","Titans","Detroit Mercy","Detroit Mercy","165b9e",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png"
"344","s:1~l:14~t:344","drake","DRKE","Drake","Drake","Bulldogs","Drake","Drake","0d1361",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png"
"345","s:1~l:14~t:345","drexel","DREX","Drexel","Drexel","Dragons","Drexel","Drexel","020260",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2182.png"
"346","s:1~l:14~t:346","duquesne","DUQ","Duquesne","Duquesne","Dukes","Duquesne","Duquesne","283a61",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png"
"347","s:1~l:14~t:347","eastern-illinois","EIU","Eastern Illinois","E Illinois","Panthers","E Illinois","Eastern Illinois","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png"
"830","s:1~l:14~t:830","emporia-st","EMPO","Emporia St","EMPORIAST","Hornets","EMPORIAST","Emporia St",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2214.png"
"1282","s:1~l:14~t:1282","fdtc","FLO","FDTC","FDTC","Fdtc","FDTC","FDTC",NA,NA,TRUE,FALSE,NA
"831","s:1~l:14~t:831","florence","FRMN","FLORENCE","FRANCISMAR","Patriots","FRANCISMAR","FLORENCE",NA,NA,TRUE,FALSE,NA
"352","s:1~l:14~t:352","fairleigh-dickinson","FDU","Fairleigh Dickinson","Fair Dickinson","Knights","Fair Dickinson","Fairleigh Dickinson","00449C",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/161.png"
"163","s:1~l:14~t:163","florida-atlantic","FAU","Florida Atlantic","FAU","Owls","FAU","Florida Atlantic","000099",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png"
"935","s:1~l:14~t:935","fort-lauderdale","NOV","Fort Lauderdale","NOVASE","Sharks","NOVASE","Fort Lauderdale",NA,NA,TRUE,FALSE,NA
"355","s:1~l:14~t:355","furman","FUR","Furman","Furman","Paladins","Furman","Furman","4A2184",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/231.png"
"1190","s:1~l:14~t:1190","grand-view","GV","Grand View","Grand View","Vikings","Grand View","Grand View",NA,NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2254.png"
"361","s:1~l:14~t:361","green-bay","GB","Green Bay","Green Bay","Phoenix","Green Bay","Green Bay","006633",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png"
