"espn_id","uid","slug","abbreviation","displayName","shortDisplayName","name","nickname","location","color","alternateColor","isActive","isAllStar","logo","Clubhouse","Roster","Statistics","Schedule","Tickets"
"2122","s:20~l:23~t:2122","central-oklahoma-bronchos","CENO","Central Oklahoma Bronchos","C Okla","Bronchos","C Okla","Central Oklahoma","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2122.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2122","https://www.espn.com/college-football/team/stats/_/id/2122","https://www.espn.com/college-football/team/schedule/_/id/2122",NA
"2119","s:20~l:23~t:2119","central-state-oh-marauders","CEN","Central State (OH) Marauders","Central St","Marauders","Central St","Central State (OH)","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2119.png","https://www.espn.com/college-football/team/_/id/2119/central-state-oh-marauders","https://www.espn.com/college-football/team/roster/_/id/2119","https://www.espn.com/college-football/team/stats/_/id/2119","https://www.espn.com/college-football/team/schedule/_/id/2119",NA
"2120","s:20~l:23~t:2120","central-washington-wildcats","CENTWASH","Central Washington Wildcats","C Wash","Wildcats","C Wash","Central Washington","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2120.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2120","https://www.espn.com/college-football/team/stats/_/id/2120","https://www.espn.com/college-football/team/schedule/_/id/2120",NA
"2121","s:20~l:23~t:2121","centre-college-kentucky-colonels","CENTRE","Centre College Kentucky Colonels","Centre","Colonels","Centre","Centre College Kentucky","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2121.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2121","https://www.espn.com/college-football/team/stats/_/id/2121","https://www.espn.com/college-football/team/schedule/_/id/2121",NA
"2123","s:20~l:23~t:2123","chadron-st-eagles","CHADRONST","Chadron St Eagles","Chadron St","Eagles","Chadron St","Chadron St","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2123.png","https://www.espn.com/college-football/team/_/id/2123/chadron-state-eagles","https://www.espn.com/college-football/team/roster/_/id/2123","https://www.espn.com/college-football/team/stats/_/id/2123","https://www.espn.com/college-football/team/schedule/_/id/2123",NA
"411","s:20~l:23~t:411","chapman-panthers","CHA","Chapman Panthers","Chapman","Panthers","Chapman","Chapman","ab1d38","000000",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/411.png",NA,"https://www.espn.com/college-football/team/roster/_/id/411","https://www.espn.com/college-football/team/stats/_/id/411","https://www.espn.com/college-football/team/schedule/_/id/411",NA
"3253","s:20~l:23~t:3253","charlotte-saints","COLLE","Charlotte Saints","Faith NC","Saints","Faith NC","Charlotte",NA,NA,TRUE,FALSE,NA,"https://www.espn.com/college-football/team/_/id/3253/charlotte-saints","https://www.espn.com/college-football/team/roster/_/id/3253","https://www.espn.com/college-football/team/stats/_/id/3253","https://www.espn.com/college-football/team/schedule/_/id/3253",NA
"80","s:20~l:23~t:80","chicago-maroons","CHI","Chicago Maroons","Chicago","Maroons","Chicago","Chicago","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/80.png",NA,"https://www.espn.com/college-football/team/roster/_/id/80","https://www.espn.com/college-football/team/stats/_/id/80","https://www.espn.com/college-football/team/schedule/_/id/80",NA
"3112","s:20~l:23~t:3112","christopher-newport-captains","CHR","Christopher Newport Captains","Chris Nwpt","Captains","Chris Nwpt","Christopher Newport","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/3112.png",NA,"https://www.espn.com/college-football/team/roster/_/id/3112","https://www.espn.com/college-football/team/stats/_/id/3112","https://www.espn.com/college-football/team/schedule/_/id/3112",NA
"17","s:20~l:23~t:17","claremont-mudd-scripps-college-stags","CLA","Claremont-Mudd-Scripps College Stags","Clare Mudd","Stags","Clare Mudd","Claremont-Mudd-Scripps College","981a31","feba15",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/17.png",NA,"https://www.espn.com/college-football/team/roster/_/id/17","https://www.espn.com/college-football/team/stats/_/id/17","https://www.espn.com/college-football/team/schedule/_/id/17",NA
"2134","s:20~l:23~t:2134","clarion-golden-eagles","CLARION","Clarion Golden Eagles","Clarion","Golden Eagles","Clarion","Clarion","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2134.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2134","https://www.espn.com/college-football/team/stats/_/id/2134","https://www.espn.com/college-football/team/schedule/_/id/2134",NA
"2805","s:20~l:23~t:2805","clark-atlanta-panthers","CLA","Clark Atlanta Panthers","Clark Atl","Panthers","Clark Atl","Clark Atlanta","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2805.png","https://www.espn.com/college-football/team/_/id/2805/clark-atlanta-panthers","https://www.espn.com/college-football/team/roster/_/id/2805","https://www.espn.com/college-football/team/stats/_/id/2805","https://www.espn.com/college-football/team/schedule/_/id/2805",NA
"2557","s:20~l:23~t:2557","coast-guard-bears","USCGA","Coast Guard Bears","Coast Guard","Bears","Coast Guard","Coast Guard","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2557.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2557","https://www.espn.com/college-football/team/stats/_/id/2557","https://www.espn.com/college-football/team/schedule/_/id/2557",NA
"2141","s:20~l:23~t:2141","coe-college-kohawks","COE","Coe College Kohawks","Coe","Kohawks","Coe","Coe College","881922","c8934a",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2141.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2141","https://www.espn.com/college-football/team/stats/_/id/2141","https://www.espn.com/college-football/team/schedule/_/id/2141",NA
"33","s:20~l:23~t:33","colby-college-white-mules","COLBY","Colby College White Mules","Colby","White Mules","Colby","Colby College","012778","ffffff",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/33.png",NA,"https://www.espn.com/college-football/team/roster/_/id/33","https://www.espn.com/college-football/team/stats/_/id/33","https://www.espn.com/college-football/team/schedule/_/id/33",NA
"3210","s:20~l:23~t:3210","cole-college-jaguars","COLE","Cole College Jaguars","Cole","Jaguars","Cole","Cole College",NA,NA,TRUE,FALSE,NA,"https://www.espn.com/college-football/team/_/id/3210/cole-college-jaguars","https://www.espn.com/college-football/team/roster/_/id/3210","https://www.espn.com/college-football/team/stats/_/id/3210","https://www.espn.com/college-football/team/schedule/_/id/3210",NA
"2442","s:20~l:23~t:2442","college-of-new-jersey-lions","COL","College Of New Jersey Lions","C of NJ","Lions","C of NJ","College Of New Jersey","154c7d","fbbc20",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2442.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2442","https://www.espn.com/college-football/team/stats/_/id/2442","https://www.espn.com/college-football/team/schedule/_/id/2442",NA
"108382","s:20~l:23~t:108382","college-of-idaho-yotes","COI","College of Idaho Yotes","Coll. of Idaho","Yotes","Coll. of Idaho","College of Idaho",NA,NA,TRUE,FALSE,NA,"https://www.espn.com/college-football/team/_/id/108382/college-of-idaho-yotes","https://www.espn.com/college-football/team/roster/_/id/108382","https://www.espn.com/college-football/team/stats/_/id/108382","https://www.espn.com/college-football/team/schedule/_/id/108382",NA
"11","s:20~l:23~t:11","colorado-mesa-mavericks","MESA","Colorado Mesa Mavericks","Colo Mesa","Mavericks","Colo Mesa","Colorado Mesa","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/11.png",NA,"https://www.espn.com/college-football/team/roster/_/id/11","https://www.espn.com/college-football/team/stats/_/id/11","https://www.espn.com/college-football/team/schedule/_/id/11",NA
"2146","s:20~l:23~t:2146","colorado-school-of-mines-orediggers","COLOMINES","Colorado School Of Mines Orediggers","Colo Mines","Orediggers","Colo Mines","Colorado School Of Mines","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2146.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2146","https://www.espn.com/college-football/team/stats/_/id/2146","https://www.espn.com/college-football/team/schedule/_/id/2146",NA
"2148","s:20~l:23~t:2148","concord-university-mountain-lions","CON","Concord University Mountain Lions","Concord","Mountain Lions","Concord","Concord University","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2148.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2148","https://www.espn.com/college-football/team/stats/_/id/2148","https://www.espn.com/college-football/team/schedule/_/id/2148",NA
"2152","s:20~l:23~t:2152","concordia-moorhead-cobbers","CONCOMN","Concordia Moorhead Cobbers","Cncrdia MH","Cobbers","Cncrdia MH","Concordia Moorhead","701d45","ffffff",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2152.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2152","https://www.espn.com/college-football/team/stats/_/id/2152","https://www.espn.com/college-football/team/schedule/_/id/2152",NA
"2151","s:20~l:23~t:2151","concordia-university-chicago-cougars","CONCOIL","Concordia University Chicago Cougars","Cncrdia IL","Cougars","Cncrdia IL","Concordia University Chicago","572a31","ffc72e",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2151.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2151","https://www.espn.com/college-football/team/stats/_/id/2151","https://www.espn.com/college-football/team/schedule/_/id/2151",NA
"507","s:20~l:23~t:507","concordia-university-nebraska-clippers","CONCONE","Concordia University Nebraska Clippers","Cncrdia NE","Clippers","Cncrdia NE","Concordia University Nebraska",NA,NA,TRUE,FALSE,NA,"https://www.espn.com/college-football/team/_/id/507/concordia-university-nebraska-clippers","https://www.espn.com/college-football/team/roster/_/id/507","https://www.espn.com/college-football/team/stats/_/id/507","https://www.espn.com/college-football/team/schedule/_/id/507",NA
"3066","s:20~l:23~t:3066","concordia-university-st-paul-golden-bears","CON","Concordia University St Paul Golden Bears","Cncrdia SP","Golden Bears","Cncrdia SP","Concordia University St Paul","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/3066.png","https://www.espn.com/college-football/team/_/id/3066/concordia-university-st-paul-golden-bears","https://www.espn.com/college-football/team/roster/_/id/3066","https://www.espn.com/college-football/team/stats/_/id/3066","https://www.espn.com/college-football/team/schedule/_/id/3066",NA
"2985","s:20~l:23~t:2985","concordia-michigan-cardinals","CONCMI","Concordia-Michigan Cardinals","Cncrdia MI","Cardinals","Cncrdia MI","Concordia-Michigan","000000",NA,TRUE,FALSE,NA,"https://www.espn.com/college-football/team/_/id/2985/concordia-michigan-cardinals","https://www.espn.com/college-football/team/roster/_/id/2985","https://www.espn.com/college-football/team/stats/_/id/2985","https://www.espn.com/college-football/team/schedule/_/id/2985",NA
"409","s:20~l:23~t:409","concordia-wisconsin-falcons","CONW","Concordia-Wisconsin Falcons","Cncrdia WI","Falcons","Cncrdia WI","Concordia-Wisconsin","245699","b1b3b3",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/409.png",NA,"https://www.espn.com/college-football/team/roster/_/id/409","https://www.espn.com/college-football/team/stats/_/id/409","https://www.espn.com/college-football/team/schedule/_/id/409",NA
"2155","s:20~l:23~t:2155","cornell-college-ia-rams","CORNELLIA","Cornell College (IA) Rams","Cornellia","Rams","Cornellia","Cornell College (IA)","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2155.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2155","https://www.espn.com/college-football/team/stats/_/id/2155","https://www.espn.com/college-football/team/schedule/_/id/2155",NA
"2782","s:20~l:23~t:2782","cortland-red-dragons","CORTLAND","Cortland Red Dragons","Cortland","Red Dragons","Cortland","Cortland","000000",NA,TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/2782.png",NA,"https://www.espn.com/college-football/team/roster/_/id/2782","https://www.espn.com/college-football/team/stats/_/id/2782","https://www.espn.com/college-football/team/schedule/_/id/2782",NA
"509","s:20~l:23~t:509","crown-college-polars","CROWN","Crown College Polars","Crown","Polars","Crown","Crown College","5c2f92","ffffff",TRUE,FALSE,"https://a.espncdn.com/i/teamlogos/ncaa/500/509.png",NA,"https://www.espn.com/college-football/team/roster/_/id/509","https://www.espn.com/college-football/team/stats/_/id/509","https://www.espn.com/college-football/team/schedule/_/id/509",NA
